class,topic,year,param,down_err,up_err,signif,signif01,signif001
Young,BUSINESS,2016,-0.061738037720719785,0.0420674607403789,0.04206746074037889,True,True,True
Young,POLITICS,2016,-0.03390618881423565,0.025083664897100268,0.02508366489710027,True,True,True
Young,WORLDPOST,2016,-0.018101993119523957,0.0397100412658176,0.0397100412658176,False,False,False
Young,ENTERTAINMENT,2016,0.09235812006077337,0.058479728378523804,0.058479728378523804,True,True,True
Young,HEALTHY LIVING,2016,0.0023812459645271684,0.0645514185528495,0.0645514185528495,False,False,False
Young,CRIME,2016,-0.016110980054394937,0.026412214807199012,0.02641221480719901,True,False,False
Young,SPORTS,2016,0.030097187588095837,0.05700981698887347,0.057009816988873474,False,False,False
Young,TRAVEL,2016,-0.18069559948537445,0.11480936405654496,0.11480936405654495,True,True,True
Young,GREEN,2016,0.010995562577783918,0.06888505370747729,0.06888505370747729,False,False,False
Young,TECH,2016,0.16612375614515187,0.0745297649122149,0.07452976491221489,True,True,True
Young,ARTS,2016,0.36254649167154834,0.29517795804085395,0.29517795804085395,True,True,True
Young,MEDIA,2016,-0.12169799283080113,0.08283060735875031,0.08283060735875031,True,True,True
Young,STYLE,2016,0.11053527209406866,0.31760761006340343,0.31760761006340343,False,False,False
Young,WEIRD NEWS,2016,0.08798666198350052,0.0773899538915437,0.07738995389154368,True,True,True
Young,RELIGION,2016,0.04645576652184953,0.06999503180190914,0.06999503180190914,True,False,False
Old,BUSINESS,2016,0.136828790909768,0.0375090160111821,0.03750901601118209,True,True,True
Old,POLITICS,2016,0.07789520790975785,0.022070793473719062,0.02207079347371907,True,True,True
Old,WORLDPOST,2016,-0.0002370487702973977,0.03611043244124792,0.03611043244124792,False,False,False
Old,ENTERTAINMENT,2016,-0.09942622265481645,0.053937165468157425,0.053937165468157425,True,True,True
Old,HEALTHY LIVING,2016,0.00899624370635956,0.058464803345684144,0.05846480334568414,False,False,False
Old,CRIME,2016,-0.08386482276723516,0.023664107323675326,0.023664107323675326,True,True,True
Old,SPORTS,2016,-0.02574000529230363,0.05183253520123229,0.05183253520123229,False,False,False
Old,TRAVEL,2016,-0.011872520819649084,0.10360909228801547,0.10360909228801547,False,False,False
Old,GREEN,2016,0.1291141903146066,0.06262437247231568,0.0626243724723157,True,True,True
Old,TECH,2016,-0.10835476318223965,0.06988426956066067,0.06988426956066068,True,True,True
Old,ARTS,2016,0.0626952409475349,0.2606419019555172,0.2606419019555172,False,False,False
Old,MEDIA,2016,0.07597802135648388,0.0751402196031045,0.07514021960310449,True,True,True
Old,STYLE,2016,0.23634665754340117,0.28618189153907986,0.28618189153907986,True,True,False
Old,WEIRD NEWS,2016,0.025094357256520837,0.07079995999002178,0.07079995999002178,False,False,False
Old,RELIGION,2016,0.05319512084242166,0.06410867197636237,0.06410867197636237,True,True,False
Male,BUSINESS,2016,0.10104313110343428,0.037121813602286585,0.0371218136022866,True,True,True
Male,POLITICS,2016,0.019259769944227352,0.022624518713910708,0.02262451871391071,True,True,False
Male,WORLDPOST,2016,-0.07227403212043919,0.03623234428087756,0.03623234428087756,True,True,True
Male,ENTERTAINMENT,2016,0.04177158676467147,0.05265920900645632,0.05265920900645631,True,True,False
Male,HEALTHY LIVING,2016,-0.06262405330770122,0.05773311305728453,0.057733113057284534,True,True,True
Male,CRIME,2016,-0.0017494255581241725,0.024075204603333497,0.02407520460333349,False,False,False
Male,SPORTS,2016,0.032268007354413694,0.0512247987495465,0.05122479874954651,True,False,False
Male,TRAVEL,2016,0.05725186440880365,0.1004207659170374,0.10042076591703741,False,False,False
Male,GREEN,2016,0.019008271112643034,0.06162188662547924,0.06162188662547923,False,False,False
Male,TECH,2016,0.15011531739429768,0.06735626466632343,0.06735626466632344,True,True,True
Male,ARTS,2016,-0.4788181801097344,0.26316099283233896,0.26316099283233896,True,True,True
Male,MEDIA,2016,-0.03203194321610888,0.07459984111193493,0.07459984111193495,False,False,False
Male,STYLE,2016,0.13852345552219106,0.2855545557350447,0.28555455573504473,False,False,False
Male,WEIRD NEWS,2016,-0.1214548914987597,0.06998525887260766,0.06998525887260765,True,True,True
Male,RELIGION,2016,-0.18482935606103235,0.06418193520224935,0.06418193520224934,True,True,True
Female,BUSINESS,2016,-0.09428503797584897,0.0370760196265032,0.037076019626503184,True,True,True
Female,POLITICS,2016,-0.01615091562704994,0.022399255347230404,0.0223992553472304,True,False,False
Female,WORLDPOST,2016,-0.051946962896167244,0.03597823819332099,0.03597823819332099,True,True,True
Female,ENTERTAINMENT,2016,0.004575393332061117,0.052415097490357464,0.052415097490357464,False,False,False
Female,HEALTHY LIVING,2016,0.18788082545555115,0.057147956079509676,0.057147956079509676,True,True,True
Female,CRIME,2016,0.07262149936377225,0.023748592583082033,0.023748592583082026,True,True,True
Female,SPORTS,2016,-0.014170664929284605,0.05079627712299245,0.05079627712299246,False,False,False
Female,TRAVEL,2016,-0.08720776624556605,0.10113248938132237,0.10113248938132237,True,True,False
Female,GREEN,2016,-0.011078141091013745,0.060722616762858624,0.060722616762858624,False,False,False
Female,TECH,2016,-0.23686100565719706,0.06914962978697001,0.06914962978697001,True,True,True
Female,ARTS,2016,0.10354101959811524,0.25097475590942897,0.25097475590942897,False,False,False
Female,MEDIA,2016,-0.11654214133140307,0.07381772621028475,0.07381772621028475,True,True,True
Female,STYLE,2016,0.15305079498877264,0.27299846594887217,0.2729984659488722,False,False,False
Female,WEIRD NEWS,2016,0.19060705429413002,0.06812026362133491,0.06812026362133491,True,True,True
