class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Young,Young,2016,0.0843279673516917,0.03634233444650133,0.036342334446501326,True,True,True
Young,Old,2016,-0.10434466421589507,0.030367083847789314,0.030367083847789314,True,True,True
Young,Male,2016,0.032417139606450956,0.032193046651740144,0.03219304665174014,True,True,True
Young,Female,2016,0.015976904627015943,0.030891751066178405,0.0308917510661784,False,False,False
Young,Poor,2016,0.011073304085247867,0.03183565328669671,0.03183565328669671,False,False,False
Young,Rich,2016,0.022132943646806357,0.03241716588475888,0.032417165884758875,True,False,False
Young,Left,2016,-0.003971381071707782,0.031689277650925114,0.031689277650925114,False,False,False
Young,Right,2016,0.012343639845634675,0.03168712519733891,0.03168712519733891,False,False,False
Old,Young,2016,-0.10281324175670298,0.034398120390959186,0.0343981203909592,True,True,True
Old,Old,2016,0.12037082301974442,0.026064517325984776,0.026064517325984776,True,True,True
Old,Male,2016,-0.0382327915415317,0.02932965506136226,0.029329655061362266,True,True,True
Old,Female,2016,-0.019730327998456507,0.027635348936366915,0.02763534893636691,True,False,False
Old,Poor,2016,0.011291937197046943,0.02930435054234258,0.02930435054234258,False,False,False
Old,Rich,2016,-0.03497595704215135,0.028420805222326713,0.028420805222326713,True,True,True
Old,Left,2016,-0.0012354998445280652,0.027897289999298084,0.027897289999298084,False,False,False
Old,Right,2016,-0.026848004634295115,0.028883936095547114,0.028883936095547114,True,True,False
Male,Young,2016,0.01456357570626541,0.03296970498554902,0.03296970498554902,False,False,False
Male,Old,2016,-0.051167171185582026,0.02662510481400967,0.02662510481400967,True,True,True
Male,Male,2016,0.0599968613386065,0.027692100771176557,0.02769210077117655,True,True,True
Male,Female,2016,-0.003348520704488385,0.02798251551873765,0.02798251551873765,False,False,False
Male,Poor,2016,-0.006080545375643701,0.028648739062411405,0.028648739062411405,False,False,False
Male,Rich,2016,0.011688024068703994,0.028498748398473744,0.02849874839847375,False,False,False
Male,Left,2016,-0.00555040606585704,0.028074212960808895,0.028074212960808895,False,False,False
Male,Right,2016,0.0009430691390236287,0.028119256429400014,0.028119256429400014,False,False,False
Female,Young,2016,-0.018725173334931473,0.034099296951786054,0.03409929695178605,False,False,False
Female,Old,2016,0.00871048416588871,0.026844023998733077,0.026844023998733077,False,False,False
Female,Male,2016,-0.023985671240696053,0.0300040540801532,0.030004054080153202,True,True,False
Female,Female,2016,0.026279667750417252,0.02723199882806683,0.027231998828066827,True,True,False
Female,Poor,2016,-0.010158865708903297,0.029439425793622066,0.029439425793622066,False,False,False
Female,Rich,2016,0.014237115730856897,0.028979374523081542,0.02897937452308154,False,False,False
Female,Left,2016,-0.0027913679480406177,0.028225931106343,0.028225931106343,False,False,False
Female,Right,2016,-0.01771170471656082,0.029184348288689765,0.02918434828868977,True,False,False
Poor,Young,2016,0.010849632347453394,0.032447689506209014,0.03244768950620901,False,False,False
Poor,Old,2016,-0.0032340696461385793,0.026575465736477275,0.026575465736477275,False,False,False
Poor,Male,2016,0.000547358243853688,0.028560841195009703,0.028560841195009703,False,False,False
Poor,Female,2016,0.005969380851681416,0.02734286893074373,0.02734286893074373,False,False,False
Poor,Poor,2016,0.04930008735394186,0.027464838688007066,0.027464838688007066,True,True,True
Poor,Rich,2016,-0.03286381908493604,0.028918048279307697,0.0289180482793077,True,True,True
Poor,Left,2016,-0.00053747471874924,0.02766396691552017,0.02766396691552017,False,False,False
Poor,Right,2016,-0.0021945608449116995,0.028125360308344373,0.028125360308344373,False,False,False
Rich,Young,2016,0.023980050415657515,0.036291848322182935,0.036291848322182935,True,False,False
Rich,Old,2016,0.00658348970277903,0.028042248203349645,0.028042248203349645,False,False,False
Rich,Male,2016,-0.003441985930432869,0.031092939657311938,0.031092939657311934,False,False,False
Rich,Female,2016,0.004088533954537249,0.029459619338241823,0.02945961933824182,False,False,False
Rich,Poor,2016,-0.030150325512064566,0.031527404518198604,0.031527404518198604,True,True,False
Rich,Rich,2016,0.01761895569786546,0.029536390609444147,0.02953639060944415,True,False,False
Rich,Left,2016,-0.0015067166956395524,0.030250490191578452,0.03025049019157845,False,False,False
Rich,Right,2016,-0.019886341173158635,0.030887146216039267,0.030887146216039264,True,False,False
Left,Young,2016,0.020994087531093046,0.034978753890296366,0.034978753890296366,True,False,False
Left,Old,2016,-0.025314876247690268,0.027338054277700325,0.027338054277700325,True,True,False
Left,Male,2016,0.0029412152629925536,0.03020480974918075,0.03020480974918075,False,False,False
