class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Female,Female,2016,0.029331666352371076,0.02437454722875773,0.02437454722875773,True,True,True
Female,Poor,2016,-0.009680437439185162,0.025502320682008167,0.025502320682008167,False,False,False
Female,Rich,2016,-0.0003594040542399527,0.025300812606629558,0.025300812606629558,False,False,False
Female,Left,2016,-0.009666699387388565,0.024766453334726157,0.024766453334726157,False,False,False
Female,Right,2016,-0.017502923730100997,0.025251174409076815,0.025251174409076812,True,False,False
Poor,Young,2016,0.00318411027468007,0.02857228061642368,0.028572280616423678,False,False,False
Poor,Old,2016,3.603328103697558e-05,0.023019937858600216,0.023019937858600216,False,False,False
Poor,Male,2016,-0.0021881016496592123,0.024883713076768923,0.024883713076768923,False,False,False
Poor,Female,2016,0.019312372237547896,0.023746430958574528,0.023746430958574528,True,True,False
Poor,Poor,2016,0.0620632930460515,0.024514117435838992,0.024514117435838992,True,True,True
Poor,Rich,2016,-0.036304243236312546,0.024813458856025303,0.024813458856025303,True,True,True
Poor,Left,2016,-0.014787572779829035,0.024143960988833937,0.024143960988833937,True,False,False
Poor,Right,2016,0.0047526643099631205,0.0243193400042932,0.0243193400042932,False,False,False
Rich,Young,2016,0.01596766726311441,0.031880295806201164,0.031880295806201164,False,False,False
Rich,Old,2016,0.007959697522677885,0.025021237102670027,0.02502123710267003,False,False,False
Rich,Male,2016,0.004351626605582355,0.027388154480921734,0.027388154480921734,False,False,False
Rich,Female,2016,0.02577615217577698,0.02592398856332947,0.02592398856332947,True,True,False
Rich,Poor,2016,-0.03233091824116058,0.0272553711432068,0.0272553711432068,True,True,True
Rich,Rich,2016,0.05039976861112638,0.02684098926483059,0.026840989264830584,True,True,True
Rich,Left,2016,-0.016557902263186368,0.026258214287373967,0.02625821428737397,True,False,False
Rich,Right,2016,-0.036915137200887474,0.026919640536093636,0.026919640536093636,True,True,True
Left,Young,2016,0.008621418401691233,0.030487969221285424,0.030487969221285424,False,False,False
Left,Old,2016,-0.018958788236876054,0.024254970127419406,0.024254970127419406,True,False,False
Left,Male,2016,-0.0062050450916197675,0.026283887353888112,0.026283887353888112,False,False,False
Left,Female,2016,-0.01448720448384169,0.025112289642028496,0.0251122896420285,False,False,False
Left,Poor,2016,-0.015028654204916938,0.02614817159741855,0.02614817159741855,False,False,False
Left,Rich,2016,0.001978376779476808,0.02604211884986473,0.026042118849864737,False,False,False
Left,Left,2016,-0.056202898649235895,0.025555749088651526,0.02555574908865153,True,True,True
Left,Right,2016,0.08205606619867974,0.025682559947668257,0.025682559947668257,True,True,True
Right,Young,2016,-0.010949350842205613,0.02871822941488273,0.028718229414882737,False,False,False
Right,Old,2016,0.012794674497174804,0.022975127586219626,0.02297512758621963,False,False,False
Right,Male,2016,-0.023635360514654202,0.024972781161316356,0.024972781161316356,True,True,False
Right,Female,2016,0.01622882787669845,0.023722921209097966,0.02372292120909797,True,False,False
Right,Poor,2016,0.007016944740168172,0.024616997882063306,0.0246169978820633,False,False,False
Right,Rich,2016,-0.020342861153264183,0.024703708359330598,0.0247037083593306,True,True,False
Right,Left,2016,0.03678156220411733,0.023934503823243993,0.02393450382324399,True,True,True
